,id,text,sentiment_text
0,273635287992,..not good..what are you gunna do,.not good.what are you gunna do
1,273643288000,"ah, that is what I used to use, it is trial only now",ah that is what I used to use it is trial only now
2,273641287998,MSN. d k if shez real but  how is aashrit? you have not told me lately.,MSN. d k if shez real but how is aashrit you have not told me lately.
3,273639287996,lara! i miss you more  what is new? how are the exams going hunnyxx,lara i miss you more what is new how are the exams going hunnyxx
4,273637287994,Yeah  He was such a good..erm...entertainment ),Yeah He was such a good.erm.entertainment 
5,273640287997,"hey! sobha waz assom! My comp broke so i cannot Dlode the songs, Yet!",hey sobha waz assom My comp broke so i cannot Dlode the songs Yet
6,273642287999,"awesomeness! I will be, uh, here, reading and drinking a coke.",awesomeness I will be uh here reading and drinking a coke.
7,273636287993,"Thanks, Lara. You have one of the coolest last names I have seen to date.",Thanks Lara. You have one of the coolest last names I have seen to date.
8,273638287995,Carter us soooo right. Way to go Lara,Carter us soo right. Way to go Lara
9,273634287991,that is not funny! that is sad,that is not funny that is sad
