,id,text,sentiment_text
0,175373189730,is going to sing paparazzi - lady gaga in assembly ;) whilst playing piano,is going to sing parazzi lady ga in assembly whilst playing piano
1,175365189722, Google should consider selling their Michael Gray dartboards. I think they would be a big hit., Google should consider selling their Michael Gray dartboards. I think they would be a big hit.
2,175364189721,"Hey Ro - did you know that I am an amazing travel writer?  you are a friend, so I will work for free - just cover my travel costs!",Hey Ro did you know that I am an amazing travel writer you are a friend so I will work for free just cover my travel costs
3,175371189728, good presentation at Techonomy 09 (sorry for the late note, good presentation at Techonomy sorry for the late note
4,175368189725,Soulja Boy? It is unbelievably addictive! Idk why...,Soulja Boy It is unbelievably addictive Idk why.
5,175367189724,"Oh and yes, makes perfect sense.",Oh and yes makes perfect sense.
6,175370189727,no. i do not think it is there,no. i do not think it is there
7,175372189729, well yeah but for me its going to be sweets sweets sweets  although it will be quite cool, well yeah but for me its going to be sweets although it will be quite cool
8,175369189726,yep and think I failed it,yep and think I failed it
9,175366189723,indeed i have  and i'm very sleepy from getting it all together. was going to twit the news later but guess will do it now,indeed i have and im very sleepy from getting it all together. was going to twit the news later but guess will do it now
