,id,text,sentiment_text
0,253837268194,"haha oh man, that is funny  relatives are the best",ha oh man that is funny relatives are the best
1,253842268199,the lakers won and did not go to summer jam,the lakers won and did not go to summer jam
2,253840268197,apart from house work I have not either,apart from house work I have not either
3,253839268196,I am heading out soon  you at ur spot?,I am heading out soon you at ur spot
4,253841268198,Chi-town misses you KENDRA G!,Chitown misses you KENDRA G
5,253838268195,C'mon kendra...it was a joke. I am sorry if I offended you ...you probably are pretty tired.,Cmon kendra.it was a joke. I am sorry if I offended you .you probably are pretty tired.
6,253843268200,ah I want to! Just getting out of work  where you bowling?,ah I want to Just getting out of work where you bowling
7,253835268192,Thank you,Thank you
8,253834268191, tweeted dear, tweeted dear
9,253836268193,"if you go straight edge I would support you all the way, I would go straight edge with you",if you go straight edge I would support you all the way I would go straight edge with you
