,id,text,sentiment_text
0,231683246040,"Paranoid , Love is on it is way and Poison ivy  .. I love you Nick!!",Paranoid Love is on it is way and Poison ivy . I love you Nick
1,231678246035,Omgg thays this Sunday Yey  ill be seeing use on June 15  xo,Omgg thays this Sunday Yey ill be seeing use on June xo
2,231681246038,one more date in ireland PLEASE!,one more date in ireland PLEASE
3,231680246037,omj i wish i lived there  (i was the first person in my town to get your cd!) its amazing btw!,omj i wish i lived there i was the first person in my town to get your cd its amazing btw
4,231675246032,OMG you guys! i loved JONAS! it was awesome! and aaahhhh! i cnt wait for next week!,OMG you guys i loved JONAS it was awesome and aahh i cnt wait for next week
5,231676246033,omg!!! I wish I could be here  but I live sooo far aways from here  you.you,omg I wish I could be here but I live soo far aways from here you.you
6,231677246034,OMGG I have been waiting for that vid. for soo long. it is sooo funny  Love ya guys x.x.x.x.,OMGG I have been waiting for that vid. for soo long. it is soo funny Love ya guys x.
7,231674246031,OMG JOE CAN YOU CAHNGE YOUR HAIR BACKK  IT WILL BE SO HOT~,OMG JOE CAN YOU CAHNGE YOUR HAIR BACKK IT WILL BE SO HOT
8,231679246036,OMJ I LOVE YOU GUYS SOOO MUCH! Too bad the texas stadium is not in Vancouver...,OMJ I LOVE YOU GUYS SOO MUCH Too bad the texas stadium is not in Vancouver.
9,231682246039,"oohh, that is so sweet!! a(tm)Y= I love your glasses joe",oohh that is so sweet atmY I love your glasses joe
