,id,text,sentiment_text
0,160404174761,unfortunately some people are stupid and cannot understand such logic.,unfortunately some people are stupid and cannot understand such logic.
1,160412174769,"bukan ooom , pake ASUS . . sebel ah  pensium langsung (hmm , LEBAY !)",bukan oom pake ASUS . sebel ah pensium langsung hmm LEBAY 
2,160405174762,"No, no. Ya me librA(c)",No no. Ya me librAc
3,160411174768,"Same here! Next week will be the start of a whole different ball game. In the meantime, am happy to re-watch this week's ep",Same here Next week will be the start of a whole different ball game. In the meantime am happy to rewatch this week ep
4,160408174765,oh ok lol! they really need them!,oh ok lol they really need them
5,160413174770,'984 days to go'  I like that, days to go I like that
6,160406174763,Poor baby in WI  God I wish I could deliver some justice on people who do that to babies.,Poor baby in WI God I wish I could deliver some justice on people who do that to babies.
7,160410174767,"OMG you are so awesome, I love you! Thanks! Will DM you my email addy",OMG you are so awesome I love you Thanks Will DM you my email addy
8,160409174766,"stop worrying, I am sure she is okay.",stop worrying I am sure she is okay.
9,160407174764,"doubt it, but hey. G'night back. Better day tomorrow ...",doubt it but hey. Gnight back. Better day tomorrow .
