,id,text,sentiment_text
0,5308067437,my effing chat client keeps on crashing. paksyet,my effing chat client keeps on crashing. paksyet
1,5307567432,And you can never take a sick day on a public holiday... *sigh* good luck getting all your work done,And you can never take a sick day on a public holiday. sigh good luck getting all your work done
2,5307767434,Glad you liked it,Glad you liked it
3,5307667433,do not you love the awkward claps and even more awkward laughter at the bad jokes?,do not you love the awkward claps and even more awkward laughter at the bad jokes
4,5308267439,"Yeah, it is good exercise, but it sucks dripping with sweat by the time I get to my desk!",Yeah it is good exercise but it sucks dripping with sweat by the time I get to my desk
5,5307467431,We ALL miss you,We ALL miss you
6,5307967436,"checked mail.sadly.we all agree.anyhoo,do not you just love tweetdeck?  i want to get iPhone n rid me of this iPhong already!",checked mail.sadly.we all agree.anyhoodo not you just love tweetdeck i want to get iPhone n rid me of this iPhong already
7,5308367440,yes please.. I get to go. Boss lady said so!!,yes please. I get to go. Boss lady said so
8,5307867435,I did indeed. I had the pleasure of moving the Herald from the old building to the new one. Miss that job but pay was too low,I did indeed. I had the pleasure of moving the Herald from the old building to the new one. Miss that job but pay was too low
9,5308167438,that I did not I woke up late!  I was ready for my blue berry muffin too.. I forgot to grab it. I was mad!!! It sounds so good.,that I did not I woke up late I was ready for my blue berry muffin too. I forgot to grab it. I was mad It sounds so good.
