,id,text,sentiment_text
0,271887286244,hehe its ok,he its ok
1,271886286243,shoot im still sort of doubting though,shoot im still sort of doubting though
2,271888286245,I think he was just making a comment about it.,I think he was just making a comment about it.
3,271889286246,Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeteradder.com Once you add everyone you are on the train or pay vip
4,271890286247,welcome to twitter,welcome to twitter
5,271892286249,agreed !,agreed 
6,271893286250,it would look better on someone prettier than you.,it would look better on someone prettier than you.
7,271884286241,YOU HAVE TO TURN YOUR POP BLOCKER OFF TO DOWNLOAD THE PLAYLIST ! (: haha i had to try like 4 times,YOU HAVE TO TURN YOUR POP BLOCKER OFF TO DOWNLOAD THE PLAYLIST ha i had to try like times
8,271885286242,sounds hawwwwt.,sounds hawwt.
9,271891286248,"So do I  !! Moreover, there are a lot actors I love",So do I Moreover there a lot actors I love
