,id,text,sentiment_text
0,125293139650,"no worry, call back first thing tomorrow morning  Arwen deserves to be in NES ;)",no worry call back first thing tomorrow morning Arwen deserves to be in NES 
1,125284139641,"I really want to get my hands on Prototype, but from the 11th-19th I have got 6 bio and chem A level papers",I really want to get my hands on Protype but from the th19th I have got bio and chem A level papers
2,125287139644,CHUCK is still fairly new...but I can get my LOTR/X-FILES rip-off fix from a lot of places.,CHUCK is still fairly new.but I can get my LOTRXFILES ripoff fix from a lot of places.
3,125286139643,I am looking at mine And I cannot even get to it... School work sucks...atleast when you get home that is it  LOL,I am looking at mine And I cannot even get to it. School work sucks.atleast when you get home that is it LOL
4,125285139642,stop ruining my dreams!,stop ruing my dreams
5,125292139649,menuju ke tkp,menuju ke tkp
6,125288139645,CONGRATULATIONS !!! Somehow I feel proud...   Happy for you  Ps: what is next?,CONGRATULATIONS Somehow I feel proud. Happy for you Ps what is next
7,125290139647,Well done.  there is always a price to be paid for good times.,Well done. there is always a price to be paid for good times.
8,125289139646,"Yup. A hell of a lot more fun than ""Oh my god I have way too much work"" Fridays.",Yup. A hell of a lot more fun than Oh my god I have way too much work Fridays.
9,125291139648,What kind of coach would I be if I did not read all your tweets?    Still waiting on an non-dried afro picture.,What kind of coach would I be if I did not read all your tweets Still waiting on an nondried afro picture.
