,id,text,sentiment_text
0,232637246994,oh fair enough man haha lucky kid  that is nice of em,oh fair enough man ha lucky kid that is nice of em
1,232640246997,thank you I can always count onuto make me smile  x x,thank you I can always count onuto make me smile x x
2,232639246996,Are you still glad you convinced them?,Are you still glad you convinced them
3,232642246999,just got us a 50D for the office. :D,just got us a D for the office. D
4,232641246998,Very good points-agreed. However Caseys has great coupons and buy 10 get 1 free. Gives me something to work for/accomplish,Very good pointsagreed. However Caseys has great coupons and buy get free. Gives me something to work foraccomplish
5,232634246991,i think so. exam rba mi ugma,i think so. exam rba mi ugma
6,232638246995,The only solution appears to be to tell Win7 not to monitor AV status in the Action Center or tell WHS to ignore the issue.,The only solution appears to be to tell Win7 not to monitor AV status in the Action Center or tell WHS to ignore the issue.
7,232636246993, no fair...i want to go!, no fair.i want to go
8,232643247000,I want 2 retweet my Indy request 2 JM but he will ignore it - he is not very fond of me.,I want retweet my Indy request JM but he will ignore it he is not very fond of me.
9,232635246992,"yeah mork has work, it makes me sad   I will give you a ring once I get home.",yeah mork has work it makes me sad I will give you a ring once I get home.
