,id,text,sentiment_text
0,1783832195,"Drink water and listen to Paranoid, and i'm sure you will be fine!",Drink water and listen to Paranoid and im sure you will be fine
1,1784332200,I think Secret Life is such a roommate show.. it makes me miss my roomie too!,I think Secret Life is such a roommate show. it makes me miss my roomie too
2,1783932196,"Did to me, was sunny here too, but clouded over now",Did to me was sunny here too but clouded over now
3,1783732194,"i am showering & going to bed, cannot handle life! my ice cream  he ate it  i want my chunky monkey ice cream and he ate it",i am showering going to bed cannot handle life my ice cream he ate it i want my chunky monkey ice cream and he ate it
4,1783432191,Ditcher! Nowww you want to go running then to the gym.,Ditcher Noww you want to go running then to the gym.
5,1783632193," full got excited haha okay, i will only be able to text on my breaks though. i'm going to sleep now. motherfuckin 12 hour shift tomorro", full got excited ha okay i will only be able to text on my breaks though. im going to sleep now. motherfuckin hour shift tomorro
6,1784132198,I have seen it before. Just rewatching it. The ending bums me out.,I have seen it before. Just rewatching it. The ending bums me out.
7,1783532192,,
8,1784032197,"that is a great approach on a sunny day.... lovely view, lucky you",that is a great approach on a sunny day. lovely view lucky you
9,1784232199,only like the best cheese ever invented by the gods of cheese! try it!,only like the best cheese ever invented by the gods of cheese try it
