,id,text,sentiment_text
0,1551329870,".-sighs- everytime my phone vibrates i'm thinking maybe she is actually talking to me, this is SO hard",.sighs everytime my phone vibrates im thinking maybe she is actually talking to me this SO hard
1,1550529862,.is feeling that she wants to get out of house; /need's Khaled],.is feeling that she wants to get out of house need Khaled
2,1551029867,".RIP James E. Tritt, father of Travis Tritt... our prayers will b with you....",.RIP James E. Tritt father of Travis Tritt. our prayers will b with you.
3,1550729864,".net 4.0 rocks  just can say ""dynamic""",.net rocks just can say dynamic
4,1550629863,.my body hurts.,.my body hurts.
5,1551229869,.sigh. woke up late. where did my day go,.sigh. woke up late. where did my day go
6,1550829865,".net magazine arrive with mobile supplement, lovely... itching to start reading but too much on till our final show is over - booohooo",.net magazine arrive with mobile supplement lovely. itching to start reading but too much on till our final show is over boohoo
7,1550429861,.indianaal good luck with your walk tomorrow,.indianaal good luck with your walk tomorrow
8,1550929866,.pissed. .cannot stop thinkin' bout some stuff in thee past. !! .i got to 4get && movee on buh i cannot.,.pissed. .cannot stop thinkin bout some stuff in thee past. .i got to 4get movee on buh i cannot.
9,1551129868,".Shalalalala my oh my looks like the boy's too shy, are not going to kiss the girl..  <3",.Shala my oh my looks like the boy too shy are not going to kiss the girl. 3
