,id,text,sentiment_text
0,95850110207,"i will leave that part to my sister. she is my personal stylist. hahaha! btw, i might go GaGa.",i will leave that part to my sister. she is my personal stylist. ha btw i might go Ga.
1,95846110203,"Ohhh, well if i was with you this weekend that would not have been a problem;). Yeah we must! 2k10 we will go to a fesst",Ohh well if i was with you this weekend that would not have been a problem. Yeah we must 2k we will go to a fesst
2,95852110209,I rise and shine and greet the day 30am everyday,I rise and shine and greet the day am everyday
3,95853110210,*gasp* oh no!! what happened? not feeling too well  back tomoz thou,gasp oh no what happened not feeling too well back tomoz thou
4,95848110205,yes cindy,yes cindy
5,95845110202,haha ure gettin worse than me  x x,ha ure gettin worse than me x x
6,95851110208,there might be a change of plan in case i can properly communicate with my friend,there might be a change of plan in case i can properly communicate with my friend
7,95847110204,Thanks hun!,Thanks hun
8,95849110206,Haha yes  I am sure you can relate. I have been procrastinating all day! Grrr. how is yours going my dear?,Haha yes I am sure you can relate. I have been procrastinating all day Grr. how is yours going my dear
9,95844110201,serious ! I should have  how is it over there ?,serious I should have how is it over there 
