,id,text,sentiment_text
0,194994209351,"As in ""Four tips to get creative..."" or as in ""4 tips to get creative..."" or asking me for tips to get creative?!",As in Four tips to get creative. or as in tips to get creative. or asking me for tips to get creative
1,194995209352,ouchies... hope you feel better soon,ouchies. hope you feel better soon
2,194996209353,sorry i could not make it! too much going on atm  plus it was ickyrainy :/,sorry i could not make it too much going on atm plus it was ickyrainy 
3,194997209354,they have increased alot in last 4 months now a daily thing. No known triggers.,they have increased alot in last months now a daily thing. No known triggers.
4,195003209360,sigh I thought we were onto something,sigh I thought were onto something
5,194999209356,yea thanks  already tried personas. Really cool,yea thanks already tried personas. Really cool
6,195001209358,I love their products!! I shall enquire with them. Thanks thanks!,I love their products I shall enquire with them. Thanks thanks
7,194998209355,thanks for the #followfriday nod   maybe it will bump me into tweeting more often,thanks for the nod maybe it will bump me into tweeting more often
8,195000209357,hahahaha.. I AM indeed! ok i wait i wait! try to rush production. so cepat cepat! cannot wait!,ha. I AM indeed ok i wait try to rush production. so cepat cannot wait
9,195002209359,that is right! I cannot wait!,that is right I cannot wait
