,id,text,sentiment_text
0,1161325970,"#TweetDeck - I use Mark All As Seen, then Clear Seen Tweets to manage my columns. When I relog l8r, they are all back again  Any clues?", I use Mark All As Seen then Clear Seen Tweets to manage my columns. When I relog l8r they are all back again Any clues
1,1160825965,#trvsdjam: o Mark que pediu., o Mark que pediu.
2,1161025967,"#twalk  its all going very well, trainers are knowledgable and what is more important its FUN", its all going very well trainers are knowledgable and what is more important its FUN
3,1160525962,#True Tuesdays: & I am not even drunk  Its #True Tuesday bishes! Lighten up!,Tuesdays I am not even drunk Its Tuesday bishes Lighten up
4,1160725964,#trulife im a high school graduateeee.  summmers here!,im a high school graduatee. summers here
5,1161225969,"#tweetbump to two of guys I really respect.  One I mention often and one I often forget to say ""You ROCK."" ",to two of guys I really respect. One I mention often and one I often forget to say You ROCK. 
6,1160425961,#TREYSONGZMUSICMONDAYS Trey Songz - LOL  (feat. Gucci Mane and Soulja Boy) ... next you Belong To Me (snippet),Trey Songz LOL feat. Gucci Mane and Soulja Boy . next you Belong To Me snippet
7,1160925966,#turnon men who box,men who box
8,1160625963,"#True Tuesdays: I am out! & no, im not going to sleep just yet.. I just do not feel like being on Twitter :/  Peacee! MUCHO LOVE! -private-",Tuesdays I am out no im not going to sleep just yet. I just do not feel like being on Twitter Peacee MUCHO LOVE private
9,1161125968,"#twalk means to eaither be tweeting while walking or tweeting while stalking... either way, the both sound pretty dangerous. lol",means to eaither be tweeting while walking or tweeting while stalking. either way the both sound pretty dangerous. lol
