,id,text,sentiment_text
0,677937665694498817,#niagarafalls #niagara #canada #usa #newyork #travel #photooftheday #djlife #myphoto @ Niagara Falls https://t.co/Xfcl0gJ2r9, Niagara Falls 
1,678992551270064129,Vacation with the rotation.,Vacation with the rotation.
2,678705663212691456,It bothers me so much when people only rely on alcohol to have fun. Like get out and adventure,It bothers me so much when people only rely on alcohol to have fun. Like get out and adventure
3,959060583885746176,When they make Starbucks at the hotel. [?][?] @ Courtyard by Marriott Buffalo Amherst/University https://t.co/wliNsI3DFT,When they make Starbucks at the hotel. Courtyard by Marriott Buffalo AmherstUniversity 
4,958344005158359045,#niagarafalls #winter #canada #travel #fall #water #world #wonderful #guy #instagram #instadaily... https://t.co/ST519kYX1z,. 
5,958801596451868674,"Step Five: Get to the hotel, and figure out the rest of the day! Cheers to the start of my... https://t.co/Amj9otqJVi",Step Five Get to the hotel and figure out the rest of the day Cheers to the start of my. 
6,933906068480000000,"Not being able to go home for the holiday, our neighbors were kind enough to invite us to join... https://t.co/EX9BBabUxh",Not being able to go home for the holiday our neighbors were kind enough to invite us to join. 
7,959161483270676480,#tbt #niagarafalls #ontheedge #takemeback #vacation #sunnydays #messyhairdontcare @ Niagara... https://t.co/PwkVESO9EU, Niagara. 
8,678292119103107072,Blind devotion xx#NiagaraFalls #nature #selfie #selfiesaturday #instagay #gay #gayboy #Polish... https://t.co/nXFDNnRb5V,Blind devotion xx. 
9,958257002110599170,#niagarafalls #canada #world #travel #boy #guy #winter #snow #instatravel #magic #atractions... https://t.co/pzbFtCtMNa,. 
