,id,text,sentiment_text
0,259442273799,you are welcome  I like reading your tweets,you are welcome I like reading your tweets
1,259434273791,Hiiiii Kron!!!,Hii Kron
2,259438273795,>> if only it was closer! i do not want to move again, if only it was closer i do not want to move again
3,259440273797,I am sure it will be good  Only thing 3D glasses do for me is make the image not be blurry. (Blurry colors w/out  them),I am sure it will be good Only thing 3D glasses do for me is make the image not be blurry. Blurry colors wout them
4,259441273798,We keep very different hours.,We keep very different hours.
5,259437273794,"OK, sounds good you win",OK sounds good you win
6,259436273793,Listening right now on line,Listening right now on line
7,259439273796,"Yeah, I hear you. Sadly, I do not have $42 to spend on a stuffed red robot.",Yeah I hear you. Sadly I do not have to spend on a stuffed robot.
8,259443273800,yea  how is the party going?,yea how is the party going
9,259435273792,what I thought ur going somewhere that is why I did not invitw you,what I thought ur going somewhere that is why I did not invitw you
