,id,text,sentiment_text
0,4929063647,you are welcome  I saw the interviews too... why jackson was not? =(( And how are you girl?,you are welcome I saw the interviews too. why jackson was not And how are you girl
1,4929363650,as long as you are dancing where the lightening does not strike???,as long as you are dancing where the lightening does not strike
2,4928963646,no problem,no problem
3,4928863645,it is because finished the recordings?,it is because finished the recordings
4,4928463641,"yeah, i'm working tomorrow  i'm off tuesdays, fridays, and the weekends",yeah im working tomorrow im off tuesdays fridays and the weekends
5,4928663643,awww Ash! what is up?,aww Ash what is up
6,4928563642, sowwy. Lover you, sowwy. Lover you
7,4929163648,nothing much lol. im in english with you atm,nothing much lol. im in english with you atm
8,4929263649,lol man... must have washed my hands 50 times LOL but what a cutie  LOVE fat cats! They cannot jump on counter tops ;) ha ha,lol man. must have washed my hands times LOL but what a cutie LOVE fat cats They cannot jump on counter tops ha ha
9,4928763644, nooo you have to comee, noo you have to comee
