,id,text,sentiment_text
0,286482300839,"yes, i can see where you would want to get away from the snow.  i saw so many motorcyclists yesterday in rain.   misery.",yes i can see where you would want to get away from the snow. i saw so many motorcyclists yesterday in rain. misery.
1,286478300835,indeed  still do not know if I am sad.Somehow relieved maybe.But I put a lot of work and personal effort for two years now,indeed still do not know if I am sad.Somehow relieved maybe.But I put a lot of work and personal effort for two years now
2,286483300840,oh no  still under warranty?,oh no still under warranty
3,286479300836,Wollemi Pine is prehistoric!  http://tinyurl.com/cnju4v,Wollemi Pine is prehistoric 
4,286481300838,ok when I go on the pc I will,ok when I go on the pc I will
5,286475300832,defo! She seemed the best choice from the start anyway.,defo She seemed the best choice from the start anyway.
6,286476300833,Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy,Hi I have uploaded completely new Chinese Lessons on ww.youtube.comChineseLearn Please feel free to watch and enjoy
7,286477300834,thanks.. was quite impressive clouds,thanks. was quite impressive clouds
8,286480300837,Soooo.....Will I be getting a Skee-Phi T-shirt as a birthday gift from you?,Soo.Will I be getting a SkeePhi Tshirt as a birthday gift from you
9,286474300831,Gemma I am scared for computing  aw no that must be annoying working on these sunny days.,Gemma I am scared for computing aw no that must be annoying working on these sunny days.
