,id,text,sentiment_text
0,227524241881,"Yeah, tomorrow! I really cannot wait",Yeah tomorrow I really cannot wait
1,227533241890,"Got 3 to view tomorrow and one on Friday, then its decision time! WOO",Got to view tomorrow and one on Friday then its decision time WOO
2,227530241887,same!!!!!!  where do you live??,same where do you live
3,227532241889, Tweeet, Tweet
4,227531241888,oh your lucky!! I have 4,oh your lucky I have 4
5,227527241884,I just found out that the walmart I was planning on going to for the midnight release closes at 11!!!!!!! I am soooo sad,I just found out that the walmart I was planning on going to for the midnight release closes at I am soo sad
6,227528241885,yh i might  i will probs do it 2morro XD,yh i might i will probs do it 2morro XD
7,227529241886,"haha. thankss.  oh, wen we were on the fone last night, (this morning actually) i did not even go to sleep til like, 4am. lol.",ha. thankss. oh wen were on the fone last night this morning actually i did not even go to sleep til like 4am. lol.
8,227525241882,"http://twitpic.com/6zlk0 - No, of course he is not short! the problem is that she is a giant!!!", No of course he is not short the problem is that she is a giant
9,227526241883,thanks,thanks
