,id,text,sentiment_text
0,106624120981,"I know  If you want it, request a reprint. They reprint that one all of the time. I have it in three colors!",I know If you want it request a reprint. They reprint that one all of the time. I have it in three colors
1,106631120988,Then you and Far and Demongirly. I guess I am not used to the people to whom I am just a number.,Then you and Far and Demongirly. I guess I am not used to the people to whom I am just a number.
2,106626120983,"my teachers also ask me about McFLY, cuz I have pictures on my books and sth like that",my teachers also ask me about McFLY cuz I have pictures on my books and sth like that
3,106628120985,Hi Danny!!! Thanks for explaining !!  #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany #mcflyforgermany,Hi Danny Thanks for explaing 
4,106632120989, only in america, only in america
5,106627120984,Amazing!  Have you got a Dressing Room pass?,Amazing Have you got a Dressing Room pass
6,106625120982,what you up to today? I have an exam laterrr boooo,what you up today I have an exam laterr boo
7,106629120986,Hope I am getting back up to speed with the weekend breakfast tweets,Hope I am getting back up to speed with the weekend breakfast tweets
8,106633120990,too bad they are gunna lose,too bad they are gunna lose
9,106630120987,I finally got around to checking mine.... 369 twooshes!  #twooshdances,I finally got around to checking mine twooshes 
