,id,text,sentiment_text
0,262896277253,"I am glad you are pursuing a new dream, but I admit, I will miss my trips to the store whenever I am in Bham.",I am glad you are pursuing a new dream but I admit I will miss my trips to the store whenever I am in Bham.
1,262903277260,I will fight you to the death for him,I will fight you to the death for him
2,262900277257,"Heh, mine goes up to 1 if I am lucky.",Heh mine goes up to if I am lucky.
3,262899277256,... Lol. I thought it would be a Chicken... Vampire Cow...  Unfortunately I was mistaken.,. Lol. I thought it would be a Chicken. Vampire Cow. Unfortunately I was mistaken.
4,262898277255,You should apply! Austin is the best city.  We welcome you with open arms.   Same type of job as you are doing now?,You should apply Austin is the best city. We welcome you with open arms. Same type of job as you are doing now
5,262895277252,"Tried to change my photo, but thanks to a twitter bug, I now have no photo",Tried to change my photo but thanks to a twitter bug I now have no photo
6,262902277259,what do you mean LOL?..  And 29 followers,what do you mean LOL. And followers
7,262901277258,Yeah -- just imagine if you were in China with the Twitter block still in force.,Yeah just imagine if you were in China with the Twitter block still in force.
8,262894277251,cannot wait to see your Brioche!,cannot wait to see your Brioche
9,262897277254,"throught mcfly lol, im 14  but we will be in our 20's togther LOL xx",throught mcfly lol im but we will be in our togther LOL xx
