,id,text,sentiment_text
0,87043101400,Thx for #FF love! Been offline all day doing brochure photography http://twitpic.com/6pgsk now I can chill,Thx for love Been offline all day doing brochure photography now I can chill
1,87040101397,"they all are! Lol..bad attitude i 2 hav, i know! Lol! yes, you will B ok! I know you will! im srry it did not wrk out!   {{Big Hug}}",they all are Lol.bad attitude i hav i know Lol yes you will B ok I know you will im srry it did not wrk out Big Hug
2,87038101395,omg.. were you twittering while driving?  you okayy?,omg. were you twittering while driving you okayy
3,87039101396,well no worries if you do not make it but it wud be lovely to see you if you can,well no worries if you do not make it but it wud be lovely to see you if you can
4,87041101398,Indeed  I agree. I look much better at Number 2 than 4 ;) Ha ha,Indeed I agree. I look much better at Number than Ha ha
5,87042101399,sounds good to me! And did you read the article I was referring to? Steve,sounds good to me And did you read the article I was referring to Steve
6,87035101392,well do not look at any guys asses,well do not look at any guys asses
7,87037101394,wow i have never been there ..but would love to visit it one day,wow i have never been there .but would love to visit one day
8,87036101393,thanks!!!,thanks
9,87034101391,that is right! ODB represent!,that is right ODB represent
