,id,text,sentiment_text
0,218473232830,"pfft, forget Disgaea (great game)... play some Suikoden on the PSP instead.",pfft forget Disgaea great game. play some Suikoden on the PSP instead.
1,218467232824,Oh..I missed the FOD button.  I will have to look again,Oh.I missed the FOD button. I will have to look again
2,218471232828,tried to upload some missing s-words to your folder but no write access,tried to upload some missing swords to your folder but no write access
3,218464232821,"tough this is d 2nd sermon about freedom that i attend to, thank you pastor!! Its still hit me..",tough this d 2nd sermon about freedom that i attend to thank you pastor Its still hit me.
4,218468232825, Hope to see you there this morning!, Hope to see you there this morning
5,218469232826,"I would wish it was ""Monday retro""!",I would wish it was Monday retro
6,218466232823,I cannot see Kermit tonight   all I see is a white box with a red x ??,I cannot see Kermit tonight all I see is a white box with a red x 
7,218472232829,I am not saying it is a waste of time at all. Just asking opinions from fellow developers. A nice lively debate,I am not saying it is a waste of time at all. Just asking opinions from fellow developers. A nice lively debate
8,218465232822,my FB seems to be working fine for me,my FB seems to be working fine for me
9,218470232827,"oops, you are very welcome",oops you are very welcome
