,id,text,sentiment_text
0,212148226505,start with some silence... physical and mental... sometimes the very need for silence is a noise in the mind...,start with some silence. physical and mental. sometimes the very need for silence is a noise in the mind.
1,212145226502,Just send them to me and I will add a credit in your name to them.,Just send them to me and I will add a credit in your name to them.
2,212146226503,For the third day in a row.   it is been one of those weeks.,For the third day in a row. it is been one of those weeks.
3,212144226501,"I would say he did. he was probably using it to read his replies, it is much easier on there.",I would say he did. he was probably using it to read his replies it is much easier on there.
4,212152226509,HAHAHA.  that made me laugh just now...  (GinoandFran live > http://ustre.am/2YyQ),HA. that made me laugh just now. GinoandFran live 
5,212150226507,"Fran, can you greet me on air??? If that is okay. HAHAHAHA. THANKS !",Fran can you greet me on air If that is okay. HA. THANKS 
6,212149226506,Just got home guys. I will just enjoy the remaining minutes of the show. I have not heard QQ & WOTD,Just got home guys. I will just enjoy the remaing minutes of the show. I have not heard QQ WOTD
7,212151226508,get well Fran,get well Fran
8,212153226510,hello everybody   (GinoandFran live > http://ustre.am/2YyQ),hello everybody GinoandFran live 
9,212147226504,I am very jealous ! I want a holiday too,I am very jealous I want a holiday too
