,id,text,sentiment_text
0,278171292528,   but its from meeee, but its from mee
1,278167292524, WELCOME TWEET<3 let us GET THIS!!!!!!!!!!!!, WELCOME TWEET3 let us GET THIS
2,278165292522,indeed - I have work tomorrow morning,indeed I have work tomorrow morning
3,278164292521,Dear God.  I cannot WAIT to see today's episode... Sree makes me cringe he is so awkward.  But he makes me feel so sorry for him.,Dear God. I cannot WAIT to see today episode. Sree makes me cringe he is so awkward. But he makes me feel sorry for him.
4,278173292530,"when every other boy tries talking to you. Sorry, it was a bad joke.",when every other boy tries talking to you. Sorry it was a bad joke.
5,278168292525,Welcome to the world of Twitter!!!  let us Get This!!! xx,Welcome to the world of Twitter let us Get This xx
6,278172292529,"haha same! Yeah I am trying not to rush, but I am going to the beach saturday so I do not want to lose all my progress..",ha same Yeah I am trying not to rush but I am going to the beach saturday so I do not want to lose all my progress.
7,278169292526,"yeah, I wish I was that gay though",yeah I wish I was that gay though
8,278170292527,So do I. I feel truly blessed to be living here.,So do I. I feel truly blessed to be living here.
9,278166292523,"Maths: Cumulative Frequency Graphs, Science: Physics Booklet.",Maths Cumulative Frequency Graphs Science Physics Booklet.
