,id,text,sentiment_text
0,1320813705," I think Cruz and Trump need to band together and expose this set up job, and get rid of Bush and Rubio,  #GOPDebate  #G...", I think Cruz and Trump need to band together and expose this set up job and get rid of Bush and Rubio .
1,1320613703, Jeb Bush reminds me of elevator music. You hear it but you do not listen.  #GOPDebate  #GOPDebates, Jeb Bush reminds me of elevator music. You hear it but you do not listen. 
2,1321313710,#GOPDebates there is no politically correct way to say America is failing with its current leadership. A deadbeat nation with no change.,there is no politically correct way to say America is failing with its current leadership. A deadbeat nation with no change.
3,1320413701,Watching THE WIRE reruns instead of the #GOPdebates. Twitter is probably the more entertaining way to follow it anyway. #nocable #noproblem,Watching THE WIRE reruns instead of the Twitter is probably the more entertaing way to follow it anyway. 
4,1321213709,"""I am he only guy on this stage"" has been said by all 10 candidates who are all male...so no you are not the only guy on stage #GOPDebates",I am he only guy on this stage has been said by all candidates who are all male.so no you are not the only guy on stage 
5,1321013707,There should be more #GOPDebates ! This is so entertaining!,There should be more This so entertaing
6,1321113708, Jeb Bush reminds me of elevator music. You hear it but you do not listen.  #GOPDebate  #GOPDebates, Jeb Bush reminds me of elevator music. You hear it but you do not listen. 
7,1320713704,"Kasich needs more time in the #GOPDebates, honestly.  https://t.co/MygdUrM2KW",Kasich needs more time in the honestly. 
8,1320513702,"Slash #SS #medicare said, Chris Christie ...... who will never be President #GopDebates #foxdebate",Slash said Christie . who will never be President 
9,1320913706," Here's what they think about you, Ben Carson!!!! THEY do not LOVE YOU!!!! #GOPDebates http://t.co/1yQzZzEDNN", Here what they think about you Ben Carson THEY do not LOVE YOU 
