,id,text,sentiment_text
0,218149232506,its not the same  lol,its not the same lol
1,218148232505,agh yeah but I still cannot get it to work out..  I could not find a thing on WA for the process.,agh yeah but I still cannot get it to work out. I could not find a thing on WA for the process.
2,218152232509,sadly I cannot.,sadly I cannot.
3,218151232508,  I hope you find somewhere. that is why I still live at home. Places are so expensive., I hope you find somewhere. that is why I still live at home. Places are so expensive.
4,218147232504,"thanks cousin!  a couple technical hiccups (no soundcheck!), but it worked out.",thanks cousin a couple technical hiccups no soundcheck but it worked out.
5,218145232502,All I know is that i have been very exhausted all month.,All I know is that i have been very exhausted all month.
6,218144232501,ahh you can tether the phone to you laptop for mobile Internet access but it is APS14 a month an only 3G. On 3 I pay APS10 for HSPDA.,ahh you can tether the phone to you laptop for mobile Internet access but is APS a month an only 3G. On I pay APS for HSPDA.
7,218146232503,...last night someone said I should sell her,.last night someone said I should sell her
8,218150232507,Its ok. I am so happy atm  Simone said she could take me,Its ok. I am so happy atm Simone said she could take me
9,218153232510, I am sorry. that is lame. you will find something eventually. Chin up!, I am sorry. that is lame. you will find something eventually. Chin up
