,id,text,sentiment_text
0,106638120995,very true. stop being so deep and use the 'act fast' method man   (kidding) ... before i forget ... i must bug you once a again,very true. stop being so deep and use the act fast method man kidding . before i forget . i must bug you once again
1,106642120999,"so, if I follow him, will you give my platinum package video??  *blackmailer* haha",so if I follow him will you give my platinum package video blackmailer ha
2,106639120996,"have a safe trip, Danny. Hope you enjoyed Ukraine",have a safe trip Danny. Hope you enjoyed Ukraine
3,106636120993,"ugh, out in LA that week",ugh out in LA that week
4,106635120992,"Thanks for the lively discussion on my post, bud",Thanks for the lively discussion my post bud
5,106643121000,are you seriouse  i hope you feel better soon,are you seriouse i hope you feel better soon
6,106634120991," - that I cannot deny - but who knows, do you have a thing for 6 inch heels and gold lamay?", that I cannot deny but who knows do you have a thing for inch heels and gold lamay
7,106637120994,Until they start blaming me. Then I just put in my iPod and laugh. Sigh.,Until they start blaming me. Then I just put in my iPod and laugh. Sigh.
8,106641120998,Hey best keyboarder/ dancer i've seen. I think i might be seeing you in tarpon springs hopefully  have a good night,Hey best keyboarder dancer ive seen. I think i might be seeing you in tarpon springs hopefully have a good night
9,106640120997,I am not elligible for an upgrade til oct  http://myloc.me/2XTw,I am not elligible for an upgrade til oct 
