,id,text,sentiment_text
0,189896204253,yeah they all have a specific meaning and after you listen to the songs they get you thinking peace love and jonas  <3,yeah they all have a specific meaning and after you listen to the songs they get you thinking peace love and jonas 3
1,189897204254," I know you like DNA and stuff, but that sounds really boring.", I know you like DNA and stuff but that sounds really boring.
2,189902204259,you should definately not been tweeting at church,you should definately not been tweeting at church
3,189903204260," Good morning, this is a test, was trying to reply to Sherri, Love her, not sure if this will work  would appreciate help", Good morning this a test was trying to reply to Sherri Love her not sure if this will work would appreciate help
4,189895204252,"of course they will, how else will they sell us diet pills",of course they will how else will they sell us diet pills
5,189899204256,misss ya where have you been babe?,miss ya where have you been babe
6,189894204251,"it is good to hear that, seeing as how I am addicted to it I can take some comfort in the fact that it could help me sometime",it is good to hear that seeing as how I am addicted to it I can take some comfort in the fact that it could help me sometime
7,189900204257,Got no craving for pasar malam,Got no craving for pasar malam
8,189901204258,Go Twitter Ernest,Go Twitter Ernest
9,189898204255,sorry it is been such a pain becca!,sorry it is been such a pain becca
