,id,text,sentiment_text
0,67027199," #GOPdebate I am PROUD of AMERICANS seeing THROUGH the BIAS, SETUP TRICK, PersonalAttacks, Favor...", I am PROUD of AMERICANS seeing THROUGH the BIAS SETUP TRICK PersonalAttacks Favor.
1,66997196," Terminate the Iran deal on day one, put even more crippling sanctions in place, convince allies to do same - says ..", Terminate the Iran deal on day one put even more crippling sanctions in place convince allies to do same says .
2,66987195,"Fox News was second rate last night. ""Fair and Balanced"" needs to be replaced with ""Agendas and Pandering"" Terrible job Fox! #GOPDebate",Fox News was second rate last night. Fair and Balanced needs to be replaced with Agendas and Pandering Terrible job Fox 
3,67007197,"The only true contenders are #Rubio, #Bush, #Walker, and #Kasich. #Carly is really making the case to be the VP nominee, though. #GOPDebate",The only true contenders are and is really making the case to be the VP nominee though. 
4,66957192,"One of the poorest communities in the country, correct? what is life like for them? #talkpoverty #gopdebate",One of the poorest communities in the country correct what is life like for them 
5,66977194, Fox Failed Statistics in Explaining Its G.O.P. Debate Decision http://t.co/JBZchd34wa #APStats #statschat #GOPDebate h/t ..., Fox Failed Statistics in Explaing Its G.O.P. Debate Decision ht .
6,67037200,2016 PREDICTION: Clinton 43.0% Bush 37.5% Trump 18.9% (millions do not vote b/c Bush is a RINO)https://t.co/BDSp6iG77V#GOPDebate, PREDICTION Clinton Bush Trump millions do not vote bc Bush is a RINOGOPDebate
7,66947191,#GOPDebate Econ won falters exaggerates Good idea #SocialSecurity http://t.co/rJk8S4Hd6F,Econ won falters exaggerates Good idea 
8,66967193, Brother of the guy who almost plunged you.S. into a Great Depression is telling you the guy who fixed it is the problemAmer..., Brother of the guy who almost plunged you.S. into a Great Depression is telling you the guy who fixed it is the problemAmer.
9,67017198,I am back at the perfect time! Talking #GOPDebate tonight at 8pm!! http://t.co/z5YujsUjmg ,I am back at the perfect time Talking tonight at 8pm 
