,id,text,sentiment_text
0,8485399210,thank you,thank you
1,8484799204,lol thanks. Hopefully that did not get me in trouble today.,lol thanks. Hopefully that did not get me in trouble today.
2,8484999206,"Hehe, yes, working on it now.",Hehe yes working on it now.
3,8484899205,"Haha, I did not think there was anyone who liked cheesecake more than me.",Haha I did not think there was anyone who liked cheesecake more than me.
4,8484599202,I love ketchup crisps! One of my favs after prawn cocktail! mmm .. you got me craving now,I love ketchup crisps One of my favs after prawn cocktail mm . you got me craving now
5,8485299209,please anything but lambrini.,please anything but lambrini.
6,8484499201,"how long are you going to be here? You know, in San Diego!",how long are you going to be here You know in San Diego
7,8485099207,"lol, I have been before, I am pretty good at it. Not going though.",lol I have been before I am pretty good at it. Not going though.
8,8485199208,maybe maybe not.lol,maybe not.lol
9,8484699203,Good Morning! Thanks for the update. Have a great day!,Good Morning Thanks for the update. Have a great day
