,id,text,sentiment_text
0,284736299093,"Dude, you probably just gave half the blockheads heart attacks lol Thanks for the 'possibly'",Dude you probably just gave half the blockheads heart attacks lol Thanks for the possibly
1,284738299095,Enjoy your next few days off...get plenty of rest...see you in 15 days.,Enjoy your next few days off.get plenty of rest.see you in days.
2,284735299092,"Dragging my ass to bed now. Good Knight, Jon!",Dragging my ass to bed now. Good Knight Jon
3,284742299099,Get some well deserved/needed rest,Get some well deservedneed rest
4,284743299100,i can,i can
5,284740299097,EXACTLY!!! let us live for the moment...I am so excited this summer!!,EXACTLY let us live for the moment.I am so excited this summer
6,284737299094,enjoy your ME time,enjoy your ME time
7,284741299098,fun with what your coffiin or twitter?,fun with what your coffiin or twitter
8,284739299096,"eww... lol. i love sushi, but i will pass on the rattlesnake!",eww. lol. i love sushi but i will pass on the rattlesnake
9,284734299091,"do not say that jon, going to make me tear up  but I am happy & truly feel blessed that I was able to exp...",do not say that jon going to make me tear up but I am happy truly feel blessed that I was able to exp.
