,id,text,sentiment_text
0,7922493581,did not you just get home?,did not you just get home
1,7922693583,REALLY? OMG THANK YOU. Do you go to the playdays?,REALLY OMG THANK YOU. Do you go the playdays
2,7923393590,"Yesterday was plain yogurt, banana, orange juice, pineapple, strawberries and mango!  MMmmMmMm",Yesterday was plain yogurt bana orange juice pineapple strawberries and mango MMmmMm
3,7923193588,Love Is In The Earth is one of my FAVOURITES. My copy shows a whole lot of lovin',Love Is In The Earth is one of my FAVOURITES. My copy shows a whole lot of lovin
4,7922593582,i love you  your tweets always make my day <3,i love you your tweets always make my day 3
5,7923093587,Great pic!  We have a similar alley of death in the woodland near us. Absolutely love Oilias of Sunhillow - what an album!,Great pic We have a similar alley of death in the woodland near us. Absolutely love Oilias of Sunhillow what an album
6,7923293589,We do not really have any health food stores here,We do not really have any health food stores here
7,7922793584,"Oh I have read the book, I think that is why I was so disappointed.",Oh I have read the book I think that is why I was so disappointed.
8,7922993586,ah...cat gravity! The strongest force in our house,ah.cat gravity The strongest force in our house
9,7922893585,Gooood night my friend,Good night my friend
