,id,text,sentiment_text
0,293538307895,My dogs stay at sleep when there is tremor hahah i need those dogs,My dogs stay at sleep when there is tremor hah i need those dogs
1,293539307896,"Besides it is spoken Hebrew I need help with.  ""Did he say come or we will shoot, or IF you come out we will shoot?""",Besides it is spoken Hebrew I need help with. Did he say come or we will shoot or IF you come out we will shoot
2,293540307897,happy Birthday,happy Birthday
3,293536307893,"how did you get your account back? Mine,  is still gone. Did it make you mad as hell too or is that just me?",how did you get your account back Mine is still gone. Did it make you mad as hell too or is that just me
4,293543307900,hey there ... not have a productive morning,hey there . not have a productive morning
5,293537307894,I heard your hubby laughing all the way from Vegas.  One of the most wretched beatings ever,I heard your hubby laughing all the way from Vegas. One of the most wretched beatings ever
6,293541307898,Sometimes that is just the best thing to do,Sometimes that is just the best thing to do
7,293535307892,LOL. Me and you both. Just brought a line full of dry washing in,LOL. Me and you both. Just brought a line full of dry washing in
8,293534307891,careful  says it goes straight to the thighs.  I do not drink wine so what is my excuse,careful says it goes straight to the thighs. I do not drink wine so what is my excuse
9,293542307899,"do not like acctng? haha, yan p man din yung like kong course. ) btw, watched glee... liked it!",do not like acctng ha yan p man din yung like kong course. btw watched glee. liked it
