,id,text,sentiment_text
0,266209280566,Class I forgot about that. that is going on the site!,Class I forgot about that. that is going on the site
1,266205280562,have fun being pampered,have fun being pampered
2,266208280565,Totally agree,Totally agree
3,266206280563,it is sunny and warmish....18 C. Perfect for a day in the park listening to live Blues & Jazz,it is sunny and warmish C. Perfect for a day in the park listening to live Blues Jazz
4,266211280568,I want to come and play,I want to come and play
5,266213280570,cannot.  My aunt will forever hold my internet hostage. She tells me to play DS instead. I am using my dad's comp.,cannot. My aunt will forever hold my internet hostage. She tells me to play DS instead. I am using my dad comp.
6,266204280561,oh no I am sorry!  warning:  I am going to wec tonight and will prob be tweeting...,oh no I am sorry warning I am going to wec tonight and will prob be tweeting.
7,266207280564,hahahahaha!!! I never thought of that!!!! she is not great infront of a crowd though  xx,ha I never thought of that she is not great infront of a crowd though xx
8,266212280569,it is an iPhone app that uses the on board GPS. I will take some photos next time I am out and upload them with the route,it is an iPhone app that uses the on board GPS. I will take some photos next time I am out and upload them with the route
9,266210280567,Which brings us back to Cage..ah now it makes sense,Which brings us back to Cage.ah now it makes sense
