,id,text,sentiment_text
0,93639107996,"it will, it just does not update real time  #spymaster",it will it just does not update real time 
1,93635107992,Sounds amazing!  Anyway to get a free pass?,Sounds amazing Anyway to get a free pass
2,93641107998,Ohh thank you so much! I wonder if I should watch it next week.,Ohh thank you so much I wonder if I should watch it next week.
3,93643108000,I just barely got out of bed its sooo yucky  no wakeboarding grrrrrrrrrr,I just barely got out of bed its soo yucky no wakeboarding grr
4,93634107991,umm okayyyy    is this enuf ahha,umm okayy is this enuf ahha
5,93638107995,yea! ;-) whoa that is alot of votin lol i may do that too since i have nothing to do all day!,yea whoa that is alot of votin lol i may do that too since i have nothing to do all day
6,93640107997,lol I am glad I am not the only one. I cannot promise they will be good. hehe,lol I am glad I am not the only one. I cannot promise they will be good. he
7,93637107994,hahaha. happy birthday for the other day btw  have fun? x,ha. happy birthday for the other day btw have fun x
8,93642107999,  Awwwww poor thing..how can you NOT have a girlfriend, Aww poor thing.how can you NOT have a girlfriend
9,93636107993,cannot you help me out? im hella cool and am willing to pay you with cookies... o.e you know you want to...,cannot you help me out im hella cool and am willing to pay you with cookies. o.e you know you want to.
