,id,text,sentiment_text
0,153617167974,haha nice. like their album title and how it rhymes? i think its a good title tho. very catchy. i cannot sleep either though,ha nice. like their album title and how it rhymes i think its a good title tho. very catchy. i cannot sleep either though
1,153614167971,"I said I have been busy..geez, do not spank me  you know what I am going through...be nice",I said I have been busy.geez do not spank me you know what I am going through.be nice
2,153619167976,haha yes well the bueno part,ha yes well the bueno part
3,153623167980,Haha....it is funny if you look at it like that  how is she doing?,Haha.it is funny if you look at it like that how is she doing
4,153621167978,"Haha. Judging by how indecisive you are...maybe you should tell.  you know, get it off your chest!",Haha. Judging by how indecisive you are.maybe you should tell. you know get it off your chest
5,153615167972,lol yup I do...it was supposed to be my off day but my boss asked me to open one of the stores  at least ill be off by 5,lol yup I do.it was supposed to be my off day but my boss asked me to open one of the stores at least ill be off by 5
6,153616167973,haha awww you guys better watch her or she will spazz out! that would be a hilarious pic.  elle.oh.elle.,ha aww you guys better watch her or she will spazz out that would be a hilarious pic. elle.oh.elle.
7,153622167979,"haha. You crack me up, girl.",ha. You crack me up girl.
8,153620167977,haha!! i was belive in him  until my friends speculate about it,ha i was belive in him until my friends speculate about it
9,153618167975,haha we watched that last night too  i love that movie,ha we watched that last night too i love that movie
