,id,text,sentiment_text
0,212126226483,"cooool  I am thinking around 2. nah presents on Friday haha, but I am giving them the book on Monday",cool I am thinking around nah presents on Friday ha but I am giving them the book on Monday
1,212127226484,"hahaha yeah, i was pleased when he came on to sing that bit  ahh flyzik, i still love you",ha yeah i was pleased when he came on to sing that bit ahh flyzik i still love you
2,212130226487,"pretty lame, but my kids will still have fun getting a free candy bar",pretty lame but my kids will still have fun getting a free candy bar
3,212129226486,"No, no plans to be in Chicago anytime soon. I just thought you might enjoy a little scavenger hunt in the rain.",No no plans to be in Chicago anytime soon. I just thought you might enjoy a little scavenger hunt in the rain.
4,212131226488,Weather reports of a week of upper 60s make me happy  Perfect running weather!,Weather reports of a week of upper s make me happy Perfect running weather
5,212128226485,"No, I do not. I am on a plane Sunday AM.",No I do not. I am on a plane Sunday AM.
6,212125226482,awwwk haha  LOLOL what?! your poor brother bahahahah,awwk ha LOL what your poor brother bah
7,212124226481,i will dress up for the event.,i will dress up for the event.
8,212133226490,Can you please put a photo of me on my twitter page again? It disappeared and I miss it,Can you please put a photo of me on my twitter page again It disappeared and I miss it
9,212132226489,Awww you are welcome hun ANYTIME,Aww you are welcome hun ANYTIME
