,id,text,sentiment_text
0,6300677363,"Hey, I am having an operation tomorrow and I am kinda afraid so I really need some luck  pleeze reply",Hey I am having an operation tomorrow and I am kinda afraid so I really need some luck pleeze reply
1,6300577362,"hey mr.cyrus (lol) i want to ask something.. does ur daughter, have facebook account? she did not reply my tweets",hey mr.cyrus lol i want to ask something. does ur daughter have facebook account she did not reply my tweets
2,6301277369,http://twitpic.com/6p059 - that is adorable, that is adorable
3,6300477361,"Hey Billyy ! Wow, you are awesome  I am a big fan  You should tell Miley that she really should have a concert in Finland a(tm)Y=",Hey Billyy Wow you are awesome I am a big fan You should tell Miley that she really should have a concert in Finland atmY
4,6300777364,"hi im sam, im 14 and im from ny and i just wanted 2 say that you and all your kids are soo talented!!",hi im sam im and im from ny and i just wanted say that you and all your kids are soo talented
5,6301177368,http://twitpic.com/6oy9u - can i get a amenn!  i love this picture and that dog is soo sweeet! love the cyrus family xoxo, can i get amenn i love this picture and that dog is soo sweet love the cyrus family xo
6,6300977366,http://twitpic.com/5a2oo - really cute dog, really cute dog
7,6300877365,"hi mr. You have a very nice family, God bless you all",hi mr. You have a very nice family God bless you all
8,6301377370,http://twitpic.com/6p0vb - gorgeous horse, gorgeous horse
9,6301077367,http://twitpic.com/6oy9u - Beautiful the dog, Beautiful the dog
