,id,text,sentiment_text
0,165039179396,"that is ok Nina, whenever you have time",that is ok Nina whenever you have time
1,165034179391,too sad,too sad
2,165037179394,"nope not yet, but I will go do that right now   Just got home from Jake's Baseball game...brrrrr I am frozen",nope not yet but I will go do that right now Just got home from Jake Baseball game.brr I am frozen
3,165043179400,"I should be on, but I may not be :S ohhh...  wednesday? around? we will find time! I am knackered, weekend was manic!",I should be on but I may not be S ohh. wednesday around we will find time I am knackered weekend was manic
4,165042179399,Are recumbents really bicycles?,Are recumbents really bicycles
5,165038179395,"poor Jenny, she is confused...  .....a lot. heheh",poor Jenny she is confused. .a lot. heh
6,165040179397,"idk what is going on, but please calm down and stop thinking like that. I hope you are okay/feel better later.",idk what is going on but please calm down and stop thinking like that. I hope you are okayfeel better later.
7,165041179398, you were robbed the #Eisneraward like michael c hall was robbed best actor on Dexter., you were robbed the like michael c hall was robbed best actor on Dexter.
8,165036179393,I feel so lost  LOL,I feel so lost LOL
9,165035179392,"yes. their like fuck -.- MARS  i will not give mars, twix, and snickers to them. if they force me, i will give  them bounty. muahaha",yes. their like fuck . MARS i will not give mars twix and snickers to them. if they force me i will give them bounty. muaha
