,id,text,sentiment_text
0,215712,"So we just had an office chat about the #GOPDebate,  & I was outed as both a flaming liberal and a politics geek. Probably not surprising.",So we just had an office chat about the I was outed as both a flaming liberal and a politics geek. Probably not surprising.
1,218715, All Ted Cruz does is attack other Republicans. #GOPDebate, All Ted Cruz does is attack other Republicans. 
2,220717, Hard to say who won the #GOPDebate - Bernie or Hillary?, Hard to say who won the Bernie or Hillary
3,217714, The only thing that could have made last night's #GOPDebate more amusing would have been:#CowBells!#MoreCowBells http://t.co..., The only thing that could have made last night more amusing would have been
4,219716," ICYMI: Not just no, but ""hell no"" to the #IranDeal! #GOPDebate #Perry2016 #tcot https://t.co/KqhJdJCGWS", ICYMI Not just no but hell no the 
5,216713,Catching up on my #GOPDebate what a childish & cheap move to call out & on a 17 year old story,Catching up on my what a childish cheap move to call out on a year old story
6,223720, Chris Christie just said you have to work two more years before retiring.And that you will get tens of thousands less you paid..., Christie just said you have to work two more years before retiring.And that you will get tens of thousands less you paid.
7,214711," These republicans are rich, they do not care about the poverty of America & they definitely do not care bout the poverty of bla...", These republicans are rich they do not care about the poverty of America they definitely do not care bout the poverty of bla.
8,221718," If Donald Trump wins the election, then we will know we are on the Biff-stole-the-almanac timeline. #GOPDebate", If Donald Trump wins the election then we will know we are on the Biffstolethealmanac timeline. 
9,222719, Can you chip in $3 to keep the momentum going? #GOPdebate #Carly2016 https://t.co/W3mtcmR7Ze, Can you chip in to keep the momentum going 
