,id,text,sentiment_text
0,220763235120,night jeremy! (3 hours ahead of you guys  ),night jeremy hours ahead of you guys 
1,220759235116,"No, I cannot. I never went to a show of your band. Brazil is so far away",No I cannot. I never went to a show of your band. Brazil is so far away
2,220757235114,"Aw, why were not you guys there last night.",Aw why were not you guys there last night.
3,220758235115,awhhh  i will be attending warped tour for the first time this year.. is it crazy? ive heard its crazy!,awhh i will be attending warped tour for the first time this year. is it crazy ive heard its crazy
4,220755235112,hey by making your bets public you remind us lil people that we are fucking broke. ;o) lol  it takes me 6 months to make 10K!,hey by making your bets public you remind us lil people that we are fucking broke. o lol it takes me months to make K
5,220756235113,"are you comming anywhere near albany, ny?  i like the cowboy look.. sometimes ha!",are you comming anywhere near albany  i like the cowboy look. sometimes ha
6,220761235118,"Whaaaat?  OMG!  That sucks!    Well, at least it is before ya got settled in too well?",Whaat OMG That sucks Well at least is before ya got settled in too well
7,220754235111,Get well Jeremy you are no Sam Hill,Get well Jeremy you are no Sam Hill
8,220760235117,"well michigan girls are the best.  i'm from michigan, too.",well michigan girls are the best. im from michigan too.
9,220762235119,I will be there too.,I will be there too.
