,id,text,sentiment_text
0,175433189790,that is my home state,that is my home state
1,175425189782,"I suspected it was something like that, but I am still disappointed.",I suspected it was something like that but I am still disappointed.
2,175428189785,"Now, Glenn--how can you possilbly ""see"" people on the radio?  Get some sleep and lay off the M & M's would ya?",Now Glennhow can you possilbly see people on the radio Get some sleep and lay off the M would ya
3,175426189783,Still got FP1 & FP2   Read the prerelease material and look through the questions we were given over the swine break & answers.,Still got FP1 FP2 Read the prelease material and look through the questions were given over the swine break answers.
4,175429189786,"script?!! I thought it was all off the cuff! Learn something new everyday!  God bless, Glenn; keep it going!",script I thought it was all off the cuff Learn something new everyday God bless Glenn keep it going
5,175427189784,no they asked us to host it because the x is backing it up!!!,no they asked us to host it because the x is backing it up
6,175432189789,we cannot wait to see you too! pls come back to iowa it is not the same at the theatre,we cannot wait to see you too pls come back to iowa it is not the same at theatre
7,175430189787,"sounds like you had a great time, wish i could go to one of ur shows, but ur not going to be close enuff. i'm in MD.  God Bless",sounds like you had a great time wish i could go to one of ur shows but ur not going to be close enuff. im in MD. God Bless
8,175431189788,Wanted 2 go sooooo bad!!.  Wife had 3rd c-section baby 5/26/09 could not leave her   .......I will have 2 buy the DVD!!!!!,Wanted go soo bad. Wife had 3rd csection baby could not leave her .I will have buy the DVD
9,175424189781,How true,How true
