,id,text,sentiment_text
0,5147865835,hey what is happening on masterchef? cousins have taken over the tv and i cannot watch it,hey what is happening on masterchef cousins have taken over the tv and i cannot watch it
1,5148165838," you are going to be mad. i got sent to the office by your sub. and our class was really bad after that, i hear. i'm sorry.", you are going to be mad. i got sent to the office by your sub. and our class was really bad after that i hear. im sorry.
2,5148265839,but i am now i have not had none in a while,but i am now i have not had none in a while
3,5148065837,I am pretty sure I am going to miss your class,I am pretty sure I am going to miss your class
4,5147965836,so shall we follow each other... (ha ha.. very diplomatic  i m just joking ),so shall we follow each other. ha. very diplomatic i m just joking 
5,5147665833,"Fo sho, I will stop by to check you out this week",Fo sho I will stop by to check you out this week
6,5147765834,Congrats. Your tweets about Gretel made it to the news  http://tinyurl.com/d53kex,Congrats. Your tweets about Gretel made it to the news 
7,5147565832,make some new youtube videos  I love those ),make some new youtube videos I love those 
8,5148365840,do not be discourage it will all work out soon...pinky swear,do not be discourage it will all work out soon.pinky swear
9,5147465831,i like the song i miss you by miley cyrus cos its about her gdad and my gdad is really ill atm   love you lots xoxoxoxoxoxoxox,i like the song i miss you by miley cyrus cos its about her gdad and my gdad is really ill atm love you lots xox
