,id,text,sentiment_text
0,188221202578,"HA i beat you! i went tanning this morning, then i have been at the pool sinceee... about 10:15!  BEAT YOUU!!!",HA i beat you i went tanning this morning then i have been at the pool sincee. about BEAT YOUU
1,188214202571,I guess,I guess
2,188217202574,haha im going to cry if that peice of shit does not come on!!!,ha im going to cry if that peice of shit does not come on
3,188222202579,me to.... to many shots last night,me to. to many shots last night
4,188223202580,I would rather spend one extra day in Sg,I would rather spend one extra day in Sg
5,188219202576,god damn what is wrong with people? What a nice end to your birthday  Geni got kicked off master chef.,god damn what is wrong with people What a nice end to your birthday Geni got kicked off master chef.
6,188215202572,"we have quite a fiew deals by now  Btw, did I tell you I am going to Barca late October for a week? )) cannot wait!",we have quite a fiew deals by now Btw did I tell you I am going to Barca late October for a week cannot wait
7,188218202575,!# that is 13 with the shift keydown, that is with the shift keydown
8,188216202573,I am doing quite well  only one half day of school for me this week. Congrats on your graduation today!!,I am doing quite well only one half day of school for me this week. Congrats on your graduation today
9,188220202577,you will crush that exam. No worries love,you will crush that exam. No worries love
