,id,text,sentiment_text
0,92812107169,I am a bad mother,I am a bad mother
1,92806107163,"I am anxiously watching the FedEx tracking site, anticipating the delivery late in the afternoon for mine.",I am anxiously watching the FedEx tracking site anticipating the delivery late in the afternoon for mine.
2,92810107167,what kind of dumb luck is that?,what kind of dumb luck is that
3,92805107162,He spelled 'moron' incorrectly while you spelled  wouldouche bag' incorrectly  You cannot stop the hate on YouTube. Just ignore.,He spelled moron incorrectly while you spelled wouldouche bag incorrectly You cannot stop the hate on YouTube. Just ignore.
4,92808107165,email is working through apple mail client too!!! cannot complain,email is working through apple mail client too cannot complain
5,92813107170,"Jeez Chris, really sorry to hear that",Jeez Chris really sorry to hear that
6,92807107164,Trademark Pose  #WordCamp http://is.gd/Kbcq,Trademark Pose 
7,92809107166,lucky sod! Although I have just slept all day,lucky sod Although I have just slept all day
8,92804107161,Get 100 followers a day using www.tweeterfollow.com Once you add everyone you are on the train or pay vip,Get followers a day using ww.tweeterfollow.com Once you add everyone you are on the train or pay vip
9,92811107168,"Aww, you should have knocked!  Sorry!!",Aww you should have knocked Sorry
