,id,text,sentiment_text
0,177013191370, It was great! I loved seeing my daughter laugh & learn & having a great time! Very exhausting though  How are you ?, It was great I loved seeing my daughter laugh learn having a great time Very exhausting though How are you 
1,177011191368,this friday i cannot  going dancing. hurhur,this friday i cannot going dancing. hur
2,177005191362, I do believe autozone is, I do believe autozone is
3,177012191369,wait you cannot make it tomorrow  just remembered,wait you cannot make it tomorrow just rembered
4,177010191367,hwaaaaaa mimiiii.... kamu membuatku terharu  i really need someone to make me feel better. tapi pasti bisa! aaah sebel!!,hwaa mii. kamu membuatku terharu i really need someone to make me feel better. tapi pasti bisa aah sebel
5,177006191363,thanks for the following.,thanks for the following.
6,177007191364,hmmm do not know its a bit of a snoozefest I am about to call it a night,hmm do not know its a bit of a snoozefest I am about to call it a night
7,177009191366,"Haha, now I get it. I thought it was spam at first",Haha now I get it. I thought it was spam at first
8,177008191365,I agree.  I have gotten more out of Google searches than the books I own.  Sad because it is cost so much.,I agree. I have gotten more out of Google searches than the books I own. Sad because it is cost so much.
9,177004191361,dude...it is not staying there! we are bringing it up North,dude.it is not staying there we are bring it up North
