,id,text,sentiment_text
0,5800672363,i do have one,i do have one
1,5801372370,"sorry you have alergies!  that is a huge drag! My Dad has them real bad too, I lucked out & did not ge that gene thank goodness!",sorry you have alergies that is a huge drag My Dad has them real bad too I lucked out did not ge that gene thank goodness
2,5800572362,hey beans!!!! i do not tweet cos no smart phone,hey beans i do not tweet cos no smart phone
3,5801072367,do not stick your head out of trench or you might get it blown off.,do not stick your head out of trench or you might get it blown off.
4,5800472361,i burned my arm while trying to cook,i burned my arm while trying to cook
5,5800772364,) Are we still up for tomorrow?, Are we still up for tomorrow
6,5801172368,sorry for calling you a dick head  i was just so sad,sorry for calling you a dick head i was just so sad
7,5800972366,Claire is missing out on an intense Ireland trip! Wish you were here,Claire is missing out on an intense Ireland trip Wish you were here
8,5800872365,Even with a bottle of wine? that is not good,Even with a bottle of wine that is not good
9,5801272369,You are perfect!!! And yes I did ask for it...,You are perfect And yes I did ask for it.
