,id,text,sentiment_text
0,154203168560,also I do hope that you will be able to prevent yet again the Iranians' plan to kidnap me,also I do hope that you will be able to prevent yet again the Iranians plan to kidnap me
1,154202168559,"""you have got me"". that still sounds dodgy",you have got me. that still sounds dodgy
2,154196168553,"THOSE CANNONS = AWESOME! Huhu not yet, I am still house i want to study!!",THOSE CANNONS AWESOME Huhu not yet I am still house i want to study
3,154197168554,"winaa gws yaaa  (vaaa kalo msh sm wina, tlg sampein yaa hihi thanks! )",winaa gws yaa vaa kalo msh sm wina tlg sampein yaa hi thanks 
4,154199168556,well I will just shop there as opposed to working there (no problems with that LOL) does that clear things up??,well I will just shop there as opposed to working there no problems with that LOL does that clear things up
5,154201168558,I hope it does not that would suck,I hope it does not that would suck
6,154198168555,I hope there is still a title race - maybe Man City can do us a favor!  It was all to eat today & I hope Xabi is alright.,I hope there is still a title race maybe Man City can do us a favor It was all to eat today I hope Xabi is alright.
7,154195168552,okay... Umm idk whut to say to that but just talk to her evvs,okay. Umm idk whut to say to that but just talk to her evvs
8,154194168551,hmmmbrr it is not raining in here. I am actually JEALOUS. I miss the rain,hmmbrr it is not raing in here. I am actually JEALOUS. I miss the rain
9,154200168557,you look like you can play a mean guitar too and cards  ~scott,you look like you can play a mean guitar too and cards scott
