,id,text,sentiment_text
0,282911297268,"Thinking poor Billy, gets used to having you around 24/7 then  will have to get used to not",Thinking poor Billy gets used to having you around then will have to get used to not
1,282910297267,Baybees are scary.,Baybees are scary.
2,282904297261,"Ha, it is easy if you have hand-eye coordination.",Ha it is easy if you have handeye coordination.
3,282908297265,I cannot do hot saunas...but the ones with steam and eucalyptus is the most amazing thing EVER!,I cannot do hot saunas.but the ones with steam and eucalyptus is the most amazing thing EVER
4,282913297270,is graduating high school today! Congrats sis!!,is graduating high school today Congrats sis
5,282905297262,"lu i'm ok and you?=D omg oh yeah i need to know EVERYTHING,tell me here xD i'm studyin' right now and mi msn is off i miss you too",lu im ok and youD omg oh yeah i need to know EVERYTHINGtell me here xD im studyin right now and mi msn is off i miss you too
6,282906297263,"lol, fine and you ?? i saw you tomorrow or in the week  Have a good day xoxo",lol fine and you i saw you tomorrow or in the week Have a good day xo
7,282907297264,"THX. about to go to the ""market"" now  I have a great wallpaper app that rotates webcams around the world called La Tour Eiffel",THX. about to go the market now I have a great wallpaper app that rotates webcams around the world called La Tour Eiffel
8,282909297266,me too atleast you have a lush garden to enjoy it in!,me too atleast you have a lush garden to enjoy it in
9,282912297269,that is so true but wuth old bones it kinda sucks to play sometimes..lol  but nice words of encouragement,that is so true but wuth old bones it kinda sucks to play sometimes.lol but nice words of encouragement
