,id,text,sentiment_text
0,258080272437,it was fine.. lol..  how was your day?,it was fine. lol. how was your day
1,258074272431,oh dear  is everyone being mean to you??!,oh dear is everyone being mean to you
2,258077272434,"yeah, looks ace",yeah looks ace
3,258076272433,what is your gamertag man?  x,what is your gamertag man x
4,258079272436,Jeallouuusss,Jeallouuss
5,258082272439,"Ah, never mind... UI got it.   (RHS->Friends->Browse/Edit Friends)",Ah never mind. UI got it. RHSFriendsBrowseEdit Friends
6,258081272438,lol poor thing stuck at school!? I feel sorry 4 you,lol poor thing stuck at school I feel sorry you
7,258083272440,How does one do that?  I cannot find any options like that in FF...,How does one do that I cannot find any options like that in FF.
8,258078272435,yeahhhhhhhh boyyyyyyyyyyy  also excited about mew transfromerssssss,yeahh boyy also excited about mew transfromerss
9,258075272432,"that the one with Christian Bale and Marianne Cotillard too? If so, I do like the look of that",that the one with Christian Bale and Marianne Cotillard too If so I do like the look of that
