,id,text,sentiment_text
0,184496198853,lolll you were right though they taste pretty good,loll you were right though they taste pretty good
1,184494198851,"Just the punch lines, m wouldear, nothing more.",Just the punch lines m wouldear nothing more.
2,184501198858,I know I am going to miss Chester.  he was 16(x7) years old. Lived a longgg life.,I know I am going to miss Chester. he was x7 years old. Lived a longg life.
3,184497198854,"Has he mentioned ""ze leetle grey cells"" yet?  Enjoy!",Has he mentioned ze leetle grey cells yet Enjoy
4,184503198860,Thanks for the #FollowSaturday!!,Thanks for the 
5,184502198859,"Ugh, looks like you will have some work to do . Good luck",Ugh looks like you will have some work to do . Good luck
6,184499198856,heyy  what is happening?,heyy what is happening
7,184498198855,thanks for following.  good day!,thanks for following. good day
8,184495198852,thanks for #followfriday,thanks for 
9,184500198857,i thought stewart moore was taking you... poor eloise.,i thought stewart moore was taking you. poor eloise.
