,id,text,sentiment_text
0,7947793834, i'm sorry to hear that, im sorry to hear that
1,7948393840,"we are ready, baby! Send the design!",we are ready baby Send the design
2,7948193838,Have a nice day CFLca - I guess it is going to be a busy one for you...,Have a nice day CFLca I guess it is going to be a busy one for you.
3,7947993836,cannot make it  send pics,cannot make it send pics
4,7948293839, cool... that should do the trick, cool. that should do the trick
5,7947493831,"I still cannot find that season 1 on the newsgoups, guess ill have to wait about 3 days to download it off shite torrent trackers",I still cannot find that season the newsgoups guess ill have to wait about days to download it off shite torrent trackers
6,7947593832,oh yum! mine is New Zealand Mount Cass Sauvignon Blanc....wish I had some sunshine to go with it though,oh yum mine is New Zealand Mount Cass Sauvignon Blanc.wish I had some sunshine to go with it though
7,7948093837,you can go to itunes or sonnetmusic.com or endoora.com/sonnet.  Enjoy,you can go to itunes or sonnetmusic.com or endoora.comsonnet. Enjoy
8,7947693833,"all the best on your assignment in dubai - hope you remember me, we met a few times n you advised me re career etc",all the best on your assignment in dubai hope you rember me we met a few times n you advised me re career etc
9,7947893835,I wish I could work from home.,I wish I could work from home.
