,id,text,sentiment_text
0,568173151798108161325716,"that is understandable, my issue is with creating a new flight without the personnel to do it...I changed my plans to accommodate",that is understandable my issue is with creating a new flight without the personnel to do it.I changed my plans to accommodate
1,568172839758630912325717, thanks! Now I just need to locate where my luggage is!, thanks Now I just need to locate where my luggage is
2,568173388663013377325715,"after 3 Cancelled Flightlations and a delay, causing me to miss connecting flight. Another night not being home. Thanks #pathetic",after Cancelled Flightlations and a delay causing me to miss connecting flight. Another night not being home. Thanks 
3,568174802059464705325713,well this is about as worthless as your regular service.  A bunch of do nothings and idiots. #sucks,well this about as worthless as your regular service. A bunch of do nothings and idiots. 
4,568174975028465664325711,"Joined Silver Preferred because I heard customer service was so great, pity I was misguided.",Joined Silver Preferred because I heard customer service was so great pity I was misguided.
5,568174847450329088325712,it is just bad practice and I am disappointed that your airline was not prepared...honestly the last time I fly with you guys,it is just bad practice and I am disappointed that your airline was not prepared.honestly the last time I fly with you guys
6,568170794670551040325720,your app sucks balls compared to ,your app sucks balls compared to 
7,568171538324840449325718,we have not departed yet so let us not get too high hopes.  But everything has been on schedule so far,we have not departed yet so let us not get too high hopes. But everything has been on schedule so far
8,568171144504872961325719,"Thanks for showing interest...3880 to Greenville, SC.",Thanks for showing interest to Greenville SC.
9,568173724974878720325714,...these changes as well to Late Flightr find out that the flight I was scheduled for is not ready,.these changes as well to Late Flightr find out that the flight I was scheduled for is not ready
