,id,text,sentiment_text
0,137435151792,Totally sweet,Totally sweet
1,137438151795,Whole Earth Festival,Whole Earth Festival
2,137436151793,"noo I do not think I am trackeing anywhere, maybe Dallas  yayy which part of Mexico are you going to?!",noo I do not think I am trackeing anywhere maybe Dallas yayy which part of Mexico are you going to
3,137443151800,you do not have to acknowledge me at all but if you do just tell me if I should be working with ya or not eh?,you do not have to acknowledge me at all but if you do just tell me if I should be working with ya or not eh
4,137441151798, howareuu?, howareuu
5,137440151797,I was very close to tweeting that exact quote today.,I was very close to tweeting that exact quote today.
6,137437151794,"Oh I see, gosh shame man.  Prepare your gas masks for the gas chambers then?",Oh I see gosh shame man. Prepare your gas masks for the gas chambers then
7,137434151791,that totally sounds like something I would do!  I am a klutz as well!,that totally sounds like something I would do I am a klutz as well
8,137439151796,aw you just got me really excited.  then i looked at the site and it will not work on my computer,aw you just got me really excited. then i looked at the site and it will not work on my computer
9,137442151799,Thanks for spreading a word about it...,Thanks for spreading a word about it.
