,id,text,sentiment_text
0,173359187716,haha yes..last nite was fun lol! detox til thurs?? really now..you do realize I am takin wed nite off n ur comin w/us..haha,ha yes.last nite was fun lol detox til thurs really now.you do realize I am takin wed nite off n ur comin wus.ha
1,173362187719,"Awesome! I have been a mozy user since day 1 of the mac beta, so it is great to see how far it has come (and will keep going!)",Awesome I have been a mozy user since day of the mac beta so it is great to see how far it has come and will keep going
2,173355187712,cuz i cannot sleep  and im hopethat this can help me. But its not  but what. Send ur engineer?,cuz i cannot sleep and im hopethat this can help me. But its not but what. Send ur engineer
3,173357187714, ding dong., ding dong.
4,173358187715,its only 20 mins...,its only mins.
5,173363187720,,
6,173361187718,will not go to Roscoes with me,will not go to Roscoes with me
7,173360187717,Hi! Welcome to Twitter! Now we are both twits..or is that twats? lol! Have fun at work!,Hi Welcome to Twitter Now we are both twits.or is that twats lol Have fun at work
8,173356187713,I know  I was yelling like a banshee. You cannot shoot em with a rifle in the neighborhood but you can use a bow and arrow.,I know I was yelling like a banshee. You cannot shoot em with a rifle in the neighborhood but you can use a bow and arrow.
9,173354187711, i missssss ur face and ur texts pffahahahahaha, i miss ur face and ur texts pffaha
