,id,text,sentiment_text
0,568145883679875072322943,what is going on with 1171 LGA-FLL..poor to no communication from gate agents??,what is going on with LGAFLL.poor to no communication from gate agents
1,568140722240512001322946,"our #FoodAllergy community. IF you want our continued loyalty, you need to do better than that. Perhaps some training is in (2/3)",our community. IF you want our continued loyalty you need to do better than that. Perhaps some traing is in 
2,568137238732771328322950,"plans to offer direct flights from #JFK to #DaytonaBeach, #Florida starting next #February.... http://t.co/oYLlRZQU5m",plans to offer direct flights from to starting next . 
3,568139150710296577322949,Airways Sees Significant Decline in Short Interest (JBLU) - WKRB News http://t.co/lZFGUTxIYN,Airways Sees Significant Decline in Short Interest JBLU WKRB News 
4,568140724618686464322945,order (3/3),order 
5,568140329821577217322948,Thanks for the FB. message telling me I will have to wait between 1-3 days.  I am waiting.,Thanks for the FB. message telling me I will have to wait between days. I am waiting.
6,568140717198938112322947,"insensitive? #FoodAllergies are life-threatening. Unsolicited UNEDUCATED opinions are inappropriate, reckless & dangerous to (1/3)",insensitive are lifethreatening. Unsolicited UNEDUCATED opinions are inappropriate reckless dangerous to 
7,568145983931969536322942,I thought the same thing after I sent it,I thought the same thing after I sent it
8,568146088416448513322941,lots of people scratching heads and looking at screens ignoring passengers,lots of people scratching heads and looking at screens ignoring passengers
9,568142966570807296322944,"FYI - your android app is set to not be applicable with the Nexus 6 - please fix (its a phone, not a tablet). Cheers!",FYI your android app is set to not be applicable with the Nexus please fix its a phone not a tablet. Cheers
