,id,text,sentiment_text
0,222561236918,Iti? 1/2 s up to you girl... sinta-se a vontade,Iti s up to you girl. sintase a vontade
1,222560236917,i do want to but not sure if i can im so bored,i do want to but not sure if i can im so bored
2,222557236914,IDK why it is not working!!,IDK why it is not working
3,222555236912,"We should go out some time! Where do you like to go in the city? I will be moving soon too, either Newtown or North Syd",We should go out some time Where do you like to go in the city I will be moving soon too either Newtown or North Syd
4,222563236920," what?! Have to read it, think missed old one?", what Have to read it think missed old one
5,222562236919,it is,it is
6,222556236913,hot damn i miss you!,hot damn i miss you
7,222558236915,I have just had broken ribs from a surgeon. you do not want it,I have just had broken ribs from a surgeon. you do not want it
8,222559236916,I jogged 10 mile then did 2 n half hours of indoor football,I jogged mile then did n half hours of indoor football
9,222554236911,http://twitpic.com/662vk -  WHY DO you LOT MOCK ME!!!, WHY DO you LOT MOCK ME
