,id,text,sentiment_text
0,158305172662,thought it was just me! Twitter fail,thought it was just me Twitter fail
1,158310172667,I can see how a 3 y/o would think that. I bet she has some cool band-aids to share w/ you though!,I can see how a yo would think that. I bet she has some cool bandaids to share w you though
2,158309172666,"i'm at work until 7:30.  maybe i can ask starbucks if i can borrow their ice, hahaha",im at work until maybe i can ask starbucks if i can borrow their ice ha
3,158313172670,it is nice to meet you!! Thank you for your kind words.  I am off to visit your site and see your bears,it is nice to meet you Thank you for your kind words. I am off to visit your site and see your bears
4,158312172669,"lol, ""evil sewer clown"" ! hope you are ok",lol evil sewer clown hope you are ok
5,158307172664,Have fun at the turtle release! Take lots of pics and please share them! Maybe I can be at the next one!,Have fun at the turtle release Take lots of pics and please share them Maybe I can be at the next one
6,158311172668,i like how you think,i like how you think
7,158308172665,i stubbed it while walking up the stairs,i stubbed it while walking up the stairs
8,158304172661,Or  a son who thinks she knows NOTHING.,Or a son who thinks she knows NOTHING.
9,158306172663,Wondered why I had not heard from you - great to see you now!,Wondered why I had not heard from you great to see you now
