,id,text,sentiment_text
0,170942185299,well on my weekdays i'm usually still in bed  i'm not a morning person. plus i got off work at eleven last night and was up at,well on my weekdays im usually still in bed im not a morning person. plus i got off work at eleven last night and was up at
1,170940185297,wehehhe. ) CSI!!! do not resist. Nothing wrong about it anyways...,wehhe. CSI do not resist. Nothing wrong about it anyways.
2,170934185291,"heh, sorry about my name... it is a #greenday reference  why do not you just push the little reply arrow?",heh sorry about my name. it is a reference why do not you just push the little reply arrow
3,170939185296,on the telly? or downloaded it?,on the telly or downloaded it
4,170935185292,come visit! the us is awesome  #andyhurleyday,come visit the us is awesome 
5,170938185295,me too,me too
6,170937185294,how was what? You saw CSI last night right?  was a weird one. I screamed when I saw the rat... o.O,how was what You saw CSI last night right was a weird one. I screamed when I saw the rat. o.O
7,170936185293,hahaha. Marshmallow...  S'mores. ),ha. Marshmallow. Smores. 
8,170941185298,well neil writes fantasy. good on is neverwhere. and good omens  #andyhurleyday,well neil writes fantasy. good on is neverwhere. and good omens 
9,170943185300,yeah  but the pro is were going to be sorta prepared for hs. pero parang nabigla kami :|,yeah but the pro is were going to be sorta prepared for hs. pero parang nabigla kami 
