,id,text,sentiment_text
0,95389109746,"??? ????????? ?????????, ??????. ??? ??? ???? ????? ??????, ? ?????? ?????????? ???????????, ?? ????????? ??????? ???? ??????", . 
1,95385109742,you been here? i assume the recovery drink you mention is guinness?,you been here i assume the recovery drink you mention is guinness
2,95391109748,Did you see the preview too,Did you see the preview too
3,95393109750,Well Hello Mrs. Cindy  How are you this fine Hot day?,Well Hello Mrs. Cindy How are you this fine Hot day
4,95386109743,"That stinks.   The ice storms got me good a few years back.  If you need something, just yell.",That stinks. The ice storms got me good a few years back. If you need something just yell.
5,95387109744,"HAH! I won!  Also: you spelled my name wrong, Amanda",HAH I won Also you spelled my name wrong Amanda
6,95392109749,The same reason everyone else is? it is the last meaningful sporting event we get until fall.,The same reason everyone else is it is the last meaningful sporting event we get until fall.
7,95388109745,OH DUDE! I know where I will post the gallery! I will post it tomorrow and send the link to ya!  <3,OH DUDE I know where I will post the gallery I will post it tomorrow and send the link to ya 3
8,95384109741,"Really what it is is that I have good ideas but fail to execute.  So, I just dish them out like sage advice instead",Really what is is that I have good ideas but fail to execute. So I just dish them out like sage advice instead
9,95390109747,?????? ?????? ????? ????? ????? ??????. ? ???? ????? ??????????, . 
