,id,text,sentiment_text
0,266936281293,yuppers!  Actually I think I am going to sneak out a few sex early...see you ladies later!,yuppers Actually I think I am going to sneak out a few sex early.see you ladies later
1,266938281295,"Oooooooooooo, cool! cannot wait to see! Tweet when ready!",Ooo cool cannot wait to see Tweet when ready
2,266942281299,disappointed we will miss you; look forward to seeing you soon,disappointed we will miss you look forward to seeing you soon
3,266943281300,I know! Gutted. Next time tho when you are back. I have put the chicken carcass back in the freezer for next time  x,I know Gutted. Next time tho when you are back. I have put the chicken carcass back in the freezer for next time x
4,266940281297,you and are very aligned today on the blog topics!  Both gr8,you and are very aligned today on the blog topics Both gr8
5,266939281296,you got another GC? lucky,you got another GC lucky
6,266934281291, do not be rude lady. Have fun at Laserquest., do not be rude lady. Have fun at Laserquest.
7,266937281294,gettin it done Jen!! Yeah! it is crunch time this week,gettin it done Jen Yeah it is crunch time this week
8,266941281298,"Can sympathise about coughing fits.  I have been like that a lot recently, get zero sleep when it happens",Can sympathise about coughing fits. I have been like that a lot recently get zero sleep when it happens
9,266935281292,how tiny of a neighbor are we talking? I wish someone could have caught this moment on video for post-trauma giggles.,how tiny of a neighbor are we talking I wish someone could have caught this moment on video for posttrauma giggles.
