,id,text,sentiment_text
0,3036544722,... you need better IT people,. you need better IT people
1,3037144728,I have always enjoyed 411mania but never link to it because of all the pop-ups etc,I have always enjoyed mania but never link to it because of all the popups etc
2,3037344730,yesss  it was awesome meeting you yesterday,yess it was awesome meeting you yesterday
3,3036444721,yes(: but now,yes but now
4,3037244729,Great to hear that! I hope you enjoy the device,Great to hear that I hope you enjoy the device
5,3036644723,right now its time for The Smith  http://bit.ly/1vqkl hv a great night over!,right now its time for The Smith hv a great night over
6,3037044727,"it is great, is not it?",it is great is not it
7,3036844725,"Happy birthday and stuff and things...  just a little early, but oh wellz.",Happy birthday and stuff and things. just a little early but oh wellz.
8,3036744724,"just got home... How did I know you would reply like instantly!!! LOL heading to bed now, early star on the hw tomorrow",just got home. How did I know you would reply like instantly LOL heading to bed now early star on the hw tomorrow
9,3036944726,"maybe not, v.3.0 can be interesting for you.",maybe not v can be interesting for you.
