,id,text,sentiment_text
0,128128142485,I would dana! I just have to close at Target,I would dana I just have to close at Target
1,128127142484,"If that twit is in regards to recent furdrama, I think it was about sex, not dating, so rule does not apply",If that twit is in regards to recent furdrama I think it was about sex not dating so rule does not apply
2,128130142487,http://twitpic.com/5av2q - Love the ears though, Love the ears though
3,128131142488, Have a nice day off you lot. I am only in part of the day (Need the dosh  ) Enjoy!, Have a nice day off you lot. I am only in part of the day Need the dosh Enjoy
4,128125142482,im up! what is good,im up what is good
5,128133142490,"Yes, he did and it somehow turned into Malibu Stacey's hat in a metaphor I falied to get",Yes he did and it somehow turned into Malibu Stacey hat in a metaphor I falied to get
6,128124142481,"Well, it is sunny and nice outside, so I guess that is good! & I just finished my English exam.",Well it is sunny and nice outside so I guess that is good I just finished my English exam.
7,128132142489,"Unless their connected by tunnels, surely you had a non-stuffy experience for even a wee while??",Unless their connected by tunnels surely you had a nonstuffy experience for even a wee while
8,128129142486, how fun would that cyber czar position be? We need to start a for security overlord petition, how fun would that cyber czar position be We need to start a for security overlord petion
9,128126142483,oh yes I love that movie,oh yes I love that movie
